video_id,title,description,publishedAt,tags,categoryId,duration,viewCount,likeCount,commentCount,Duration_in_sec,SubjectList,Subject,Exam_type,Exam,Typelist,Type,classlist,class,,Batch,Teacherlist,Teachers
ysvweH-dQ70,Alakh Sir bringing biggest Surprise for All JEE NEET ASPIRANTS!! @PWTestSeries,"📌 Real Test Series 2026 Registration Links
🔷 JEE 
 • 11th JEE RTS 2026 – https://physicswallah.onelink.me/ZAZB/JRTS11YT
 • 12th JEE RTS 2026 – https://physicswallah.onelink.me/ZAZB/JRTS12YT
 • Dropper JEE RTS 2026 – https://physicswallah.onelink.me/ZAZB/JRTSDYT
🔷 NEET 
 • 11th NEET RTS 2026 – https://physicswallah.onelink.me/ZAZB/NRTS11YT
 • 12th NEET RTS 2026 – https://physicswallah.onelink.me/ZAZB/NRTS12YT
 • Dropper NEET RTS 2026 – https://physicswallah.onelink.me/ZAZB/NRTSDYT

🎯 MIP with RTS
📲 Join Now: https://linktr.ee/MIPYT
 📞 Or Call: 07314850130

🧬 NEET 2026 Exam Centres (State-wise)
Assam: Dibrugarh, Guwahati, Nagaon
 Bihar: Araria, Arrah, Aurangabad (BH), Begusarai, Bettiah, Bhagalpur, Darbhanga, East Champaran, Gaya, Gopalganj, Hajipur, Katihar, Madhubani, Muzaffarpur, Nalanda, Nawada, Patna, Purnia, Rohtas, Saharsa, Samastipur, Sitamarhi, Siwan, West Champaran
 Chandigarh: Chandigarh
 Chhattisgarh: Ambikapur, Bilaspur (CGH), Durg, Korba, Raigarh, Raipur
 Delhi: East Delhi, North Delhi, South Delhi, West Delhi
 Gujarat: Ahmedabad, Surat, Vadodara
 Haryana: Ambala, Faridabad, Gurugram, Hisar, Karnal, Narnaul, Panipat, Rewari, Rohtak, Sonipat
 Himachal Pradesh: Kangra, Shimla
 Jammu & Kashmir: Anantnag, Baramulla, Jammu, Pulwama, Srinagar
 Jharkhand: Bokaro, Daltonganj, Deoghar, Dhanbad, East Singhbhum, Hazaribag, Ranchi
 Karnataka: Ballari, Belagavi, Bengaluru, Dharwad, Kalaburagi, Mysuru, Vijayapura
 Madhya Pradesh: Balaghat, Bhopal, Chhatarpur, Chhindwara, Guna, Gwalior, Indore, Jabalpur, Morena, Ratlam, Rewa, Sagar, Satna, Ujjain
 Maharashtra: Ahmednagar, Akola, Amravati, Aurangabad, Beed, Bhandara, Buldhana, Chandrapur, Dhule, Jalgaon, Jalna, Kolhapur, Latur, Mumbai, Nagpur, Nanded, Nashik, Parbhani, Pune, Sangli, Solapur, Thane, Yavatmal
 Odisha: Balangir, Baleshwar, Bhubaneswar, Brahmapur, Cuttack, Sambalpur
 Punjab: Gurdaspur, Jalandhar, Ludhiana, Patiala
 Rajasthan: Ajmer, Alwar, Bikaner, Ganganagar, Jaipur, Jodhpur, Kota, Sikar, Udaipur
 Telangana: Hyderabad
 Tripura: West Tripura
 Uttar Pradesh: Agra, Aligarh, Ayodhya, Azamgarh, Bahraich, Ballia, Banda, Bareilly, Basti, Bijnor, Bulandshahr, Deoria, Etawah, Ghaziabad, Ghazipur, Gonda, Gorakhpur, Jaunpur, Jhansi, Kanpur, Kushinagar, Lucknow, Mainpuri, Mathura, Mau, Meerut, Moradabad, Muzaffarnagar, Noida, Pratapgarh, Prayagraj, Saharanpur, Shahjahanpur, Sitapur, Sultanpur, Varanasi
 Uttarakhand: Dehradun, Haldwani, Haridwar, Roorkee
 West Bengal: Asansol, Bankura, Bardhaman, Birbhum, Cooch Behar, Durgapur, Hooghly, Howrah, Jalpaiguri, Kolkata, Malda, Murshidabad, Nadia, North 24 Parganas, Paschim Medinipur, Purba Medinipur, Purulia, Siliguri, South 24 Parganas

📘 JEE 2026 Exam Centres (State-wise)
Assam: Dibrugarh, Guwahati, Nagaon
 Bihar: Araria, Arrah, Aurangabad (BH), Begusarai, Bettiah, Bhagalpur, Darbhanga, East Champaran, Gaya, Gopalganj, Hajipur, Katihar, Madhubani, Muzaffarpur, Nalanda, Nawada, Patna, Purnia, Rohtas, Saharsa, Samastipur, Sitamarhi, Siwan, West Champaran
 Chandigarh: Chandigarh
 Chhattisgarh: Ambikapur, Bilaspur (CGH), Durg, Korba, Raigarh, Raipur
 Delhi: East Delhi, North Delhi, South Delhi, West Delhi
 Gujarat: Ahmedabad, Surat, Vadodara
 Haryana: Ambala, Faridabad, Gurugram, Hisar, Karnal, Narnaul, Panipat, Rewari, Rohtak, Sonipat
 Himachal Pradesh: Kangra, Shimla
 Jammu & Kashmir: Anantnag, Baramulla, Jammu, Pulwama, Srinagar
 Jharkhand: Bokaro, Daltonganj, Deoghar, Dhanbad, East Singhbhum, Hazaribag, Ranchi
 Karnataka: Ballari, Belagavi, Bengaluru, Dharwad, Kalaburagi, Mysuru, Vijayapura
 Madhya Pradesh: Balaghat, Bhopal, Chhatarpur, Chhindwara, Guna, Gwalior, Indore, Jabalpur, Morena, Ratlam, Rewa, Sagar, Satna, Ujjain
 Maharashtra: Ahmednagar, Akola, Amravati, Aurangabad, Beed, Bhandara, Buldhana, Chandrapur, Dhule, Jalgaon, Jalna, Kolhapur, Latur, Mumbai, Nagpur, Nanded, Nashik, Parbhani, Pune, Sangli, Solapur, Thane, Yavatmal
 Odisha: Balangir, Baleshwar, Bhubaneswar, Brahmapur, Cuttack, Sambalpur
 Punjab: Gurdaspur, Jalandhar, Ludhiana, Patiala
 Rajasthan: Ajmer, Alwar, Bikaner, Ganganagar, Jaipur, Jodhpur, Kota, Sikar, Udaipur
 Telangana: Hyderabad
 Tripura: West Tripura
 Uttar Pradesh: Agra, Aligarh, Ayodhya, Azamgarh, Bahraich, Ballia, Banda, Bareilly, Basti, Bijnor, Bulandshahr, Deoria, Etawah, Ghaziabad, Ghazipur, Gonda, Gorakhpur, Jaunpur, Jhansi, Kanpur, Kushinagar, Lucknow, Mainpuri, Mathura, Mau, Meerut, Moradabad, Muzaffarnagar, Noida, Pratapgarh, Prayagraj, Saharanpur, Shahjahanpur, Sitapur, Sultanpur, Varanasi
 Uttarakhand: Dehradun, Haldwani, Haridwar, Roorkee
 West Bengal: Asansol, Bankura, Bardhaman, Birbhum, Cooch Behar, Durgapur, Hooghly, Howrah, Jalpaiguri, Kolkata, Malda, Murshidabad, Nadia, North 24 Parganas, Paschim Medinipur, Purba Medinipur, Purulia, Siliguri, South 24 Parganas",2025-08-04T16:26:05Z,,27,PT1H20M41S,728985,28785,721,1241,Math,Series,JEE MAINS/NEET,NEET,PWTestSeries,PWTestSeries,11th,Others,Dropper Batch,Others,,
odhFoSUKFTw,PRAYAS 2.0 - KATTAR JEE ADVANCED GANG for JEE Droppers 2026,"Prayas JEE 2.0 2026 - https://physicswallah.onelink.me/ZAZB/5gii2jei

00:00 - Welcome
04:47 - Session with Mathematics faculty
11:28 - Session with Physical chemistry faculty 
16:40 - Session with Organic chemistry faculty 
20:06 - Session with Inorganic chemistry faculty
23:42 - Session with Physics faculty
31:15 - Surprise for students!
32:30 - Challenges faced by JEE Aspirants
1:09:02 - What’s new in PRAYAS 2.0?
1:21:21 - Batch features
1:28:28 - Know your schedule 
1:28:54 - Batch updates 
1:33:54 - Thank You Bacchon",2025-05-27T16:49:54Z,,27,PT1H39M10S,436981,20425,1030,2350,Physics,Series,JEE,JEE,1 Shot,Others,12th,Others,Dropper,Dropper,,
7JcJo_gAUAM,YAKEEN 2.0 - All Time Legendary Batch for NEET DROPPERS 2026,"Yakeen 2.0 2026 - https://physicswallah.onelink.me/ZAZB/occvq95b


00:00 - Welcome!
06:44 - YAKEEN Batch Results!
12:35 - Session with Physics Faculty 
31:44 - Session with Biology and Zoology Faculty 
44:07 - Session with Chemistry Faculty 
1:11:37 - What’s new in YAKEEN 2.0?
1:13:47 - Dual Faculty Advantage
1:14:50 - Live lectures key upgrades
1:16:15 - Syllabus schedule and completion 
1:17:12 - Practice mode
1:21:35 - Analysis and revision zone
1:29:24 - Surprises for YAKEEN 2.0
1:33:26 - NEET UG Preparation Toolkit
1:40:32 - Batch Infinity and Infinity Pro
1:47:03 - Toppers Talk 
1:56:15 - Highlights of YAKEEN 2.0
2:05:00 - Unlock the Toppers mindset
2:17:20 - Weekly schedule 
2:22:06 - Know your faculties
2:32:45 - Thank You Bacchon",2025-05-10T16:46:15Z,,27,PT2H33M20S,1438818,76825,3321,2000,Inorganic chemistry,Batch,NEET,NEET,Paper Decoding,Others,11,Others,,Dropper,,
sqdwl8nfUXA,NEET 2025 PAPER TOUGH - Life Barbad? Family Pressure? Depression? || Let's Talk,,2025-05-04T18:15:23Z,,27,PT1H32M36S,2214457,73985,6061,1956,Biology,Others,IIT JEE ADVANCED | MAINS | NEET,NEET,timetable,Others,12,Others,,Others,,
Ax0kEUyZtAw,Complete ORGANIC CHEMISTRY in 1 Shot || All Concepts & PYQs || NEET 2025 MahaRevision,"For PDFs - https://physicswallah.onelink.me/ZAZB/57nekei0

00:00 - Introduction
01:49 - Topics to be covered
02:27 - IUPAC
1:04:16 - Isomerism
2:37:40 - GOC
3:31:11 - Purification and Analysis of organic compound 
4:15:00 - Break
4:33:42 - Qualitative an Hydrocarbon
5:57:29 - Haloalkane and Haloarenes
6:48:48 - Alcohol, Phenol and Ether 
7:34:42 - Break
7:53:05 - Aldehyde Ketone and Carbonyl Amines 
9:17:02 - Biomolecules
10:27:06 - Thank You Bacchon",2025-05-02T18:20:11Z,"neet,neet 2025,neet maharevsion,physicswallah,aayudh sir physics,neet phycis,physics neet oneshot,mr sir,mr sir physics,mahatandav,neet exam",27,PT10H29M46S,371442,9414,327,37786,Organic chemistry ,Organic chemistry , JEE | NEET,NEET,Paper Discussion,1 Shot,,Others,,Others,,
jNOy11yq0gU,Complete PHYSICAL CHEMSITRY in 1 Shot || All Concepts & PYQs || NEET 2025 MahaRevision,"For PDFs - https://physicswallah.onelink.me/ZAZB/57nekei0


00:00 - Introduction 
02:42 - Mole Concept
1:37:40 - Solutions
2:38:14 - Break
2:59:25 - Redox reactions
3:20:33 - Structure of atom
4:40:35 - Thermodynamics 
5:53:56 - Equilibrium 
8:03:23 - Electrochemistry 
10:05:34 - Chemical kinetics
10:05:45 - Thank You Bacchon",2025-05-01T16:53:40Z,"neet,neet 2025,neet maharevsion,physicswallah,aayudh sir physics,neet phycis,physics neet oneshot,mr sir,mr sir physics,mahatandav,neet exam",27,PT10H50M29S,786159,21284,865,39029,Botany,Others,JEE| NEET,NEET,Mock Test,1 Shot,,Others,,Others,,
aHx9uJ_bpFQ,Complete BOTANY in 1 Shot || All Concepts & PYQs || NEET 2025 MahaRevision,"For PDFs - https://physicswallah.onelink.me/ZAZB/57nekei0


00:00 - Introduction
04:25 - Translation of DNA
22:23 - Regulation of gene expression: Lac operon
40:00 - DNA fingerprinting
51:28 - Satellite DNA
1:28:06 - Thank you bachhon",2025-05-01T04:43:57Z,"neet,neet 2025,neet maharevsion,physicswallah,aayudh sir physics,neet phycis,physics neet oneshot,mr sir,mr sir physics,mahatandav,neet exam",27,PT1H32M31S,246037,7840,372,1951,Zoology,Botany,JEE| NEET,NEET, Official Paper Discussion,1 Shot,,Others,,Others,,
foXPyQSxGec,Complete ZOOLOGY in 1 Shot || All Concepts & PYQs || NEET 2025 MahaRevision,"• Fill your NEET2025 Exam Registration details   : https://forms.gle/7QbQhn4v1RtoiCZ68
• For PDFs - https://physicswallah.onelink.me/ZAZB/57nekei0



00:00 - Introduction
04:19 - Today’s target
09:00 - Channel Updates
10:30 - Topics to be covered
10:42 - Animal Kingdom
52:51 - Structural Organisation
1:34:56 - Biomolecules
2:04:11 - Breathing and Exchange of gases
2:27:40 - Body fluids and Circulation
2:48:30 - Excretory Products and their elimination
3:08:32 - Locomotion and Movement
3:25:36 - Neural Control and Coordination
3:43:31 - Chemical coordination and integration
4:02:07 - Human Reproduction
4:22:15 - Reproductive Health
4:42:10 - Break
4:49:28 - Evolution
5:11:10 - Human Health and Diseases
5:31:10 - Biotechnology: Principle and Processes
5:54:01 - Biotechnology: Application
6:14:45 - Mixed practice question
6:52:25 - Thank you bachhon",2025-04-30T18:47:33Z,"neet,neet 2025,neet maharevsion,physicswallah,aayudh sir physics,neet phycis,physics neet oneshot,mr sir,mr sir physics,mahatandav,neet exam",27,PT6H54M1S,842180,23622,1121,3240,Physical chemistry,Zoology,JEE MAINS/NEET,NEET,DPP,1 Shot,,Others,,Others,,
QWrrzbKfrtA,Complete Class 11th PHYSICS Paper Decoding by MR Sir  - NEET 2025 || PhysicsWallah,"00:00 - Introduction
05:48 - Unit and dimensions
41:38 - Motion in a straight line
1:02:20 - Motion in a plane
1:26:22 - Newton's laws of motion
2:13:28 - Work, power and energy
2:40:43 - COM and Collision
3:04:15 - Rotation
3:47:44 - Gravitation
4:21:55 - Mechanical properties of solids
4:26:40 - Mechanical properties of fluids
4:45:52 - Thermal properties of matter
5:07:43 - Thermodynamics
5:29:19 - SHM and Oscillations
5:46:34 - Waves
6:09:40 - Thank you bachhon",2025-04-30T07:09:50Z,"neet,neet 2025,neet maharevsion,physicswallah,aayudh sir physics,neet phycis,physics neet oneshot,mr sir,mr sir physics,mahatandav,neet exam",27,PT6H12M24S,1577087,63688,3573,744,Result,Physics,JEE/NEET,NEET,,Paper Decoding,,11th,,Others,,
o937H4LiJIk,Complete BOTANY in 1 Shot || All Concepts & PYQs || NEET 2025 MahaRevision,"For PDFs - https://physicswallah.onelink.me/ZAZB/57nekei0



00:00 - Introduction
06:12 - Plant Kingdom
1:02:54 - Photosynthesis in Higher Plant
2:23:30 - Plant Growth and Development
3:01:12 - Anatomy of Flowering Plants
4:16:40 - Morphology of Flowering Plants
5:47:38 - Cell cycle and division
6:19:35 - Break
6:51:14 - Respiration in Plants
7:52:56 - Biological Classification
8:55:38 - Principles of Inheritance and Variation
10:24:55 - Molecular Basis of Inheritance
11:43:45 - Thank you bachhon",2025-04-29T23:53:10Z,"neet,neet 2025,neet maharevsion,physicswallah,aayudh sir physics,neet phycis,physics neet oneshot,mr sir,mr sir physics,mahatandav,neet exam",27,PT11H44M38S,1075445,39183,937,42278,Batches,Botany,JEE /NEET,NEET,,1 Shot,,Others,,Others,,
